date,value
2024-01-01,820
2024-01-02,835
2024-01-03,812
2024-01-04,850
2024-01-05,910
2024-01-06,980
2024-01-07,960
2024-01-08,840
2024-01-09,855
2024-01-10,830
2024-01-11,870
2024-01-12,930
2024-01-13,995
2024-01-14,972
2024-01-15,860
2024-01-16,875
2024-01-17,848
2024-01-18,888
2024-01-19,948
2024-01-20,1010
2024-01-21,988
2024-01-22,878
2024-01-23,892
2024-01-24,865
2024-01-25,905
2024-01-26,965
2024-01-27,1032
2024-01-28,1008
2024-01-29,895
2024-01-30,910
2024-01-31,882
2024-02-01,920
2024-02-02,980
2024-02-03,1045
2024-02-04,1020
2024-02-05,905
2024-02-06,922
2024-02-07,896
2024-02-08,936
2024-02-09,996
2024-02-10,1060
2024-02-11,1036
2024-02-12,920
2024-02-13,938
2024-02-14,910
2024-02-15,950
2024-02-16,1012
2024-02-17,1078
2024-02-18,1052
2024-02-19,936
2024-02-20,952
2024-02-21,926
2024-02-22,968
2024-02-23,1028
2024-02-24,1095
2024-02-25,1068
2024-02-26,952
2024-02-27,968
2024-02-28,940
2024-02-29,982
