date,value
2021-01-01,120
2021-02-01,128
2021-03-01,135
2021-04-01,142
2021-05-01,150
2021-06-01,158
2021-07-01,171
2021-08-01,169
2021-09-01,160
2021-10-01,154
2021-11-01,149
2021-12-01,162
2022-01-01,132
2022-02-01,140
2022-03-01,147
2022-04-01,155
2022-05-01,164
2022-06-01,173
2022-07-01,186
2022-08-01,183
2022-09-01,175
2022-10-01,168
2022-11-01,163
2022-12-01,177
2023-01-01,145
2023-02-01,153
2023-03-01,161
2023-04-01,170
2023-05-01,180
2023-06-01,190
2023-07-01,203
2023-08-01,199
2023-09-01,191
2023-10-01,184
2023-11-01,178
2023-12-01,193
2024-01-01,158
2024-02-01,166
2024-03-01,174
2024-04-01,183
2024-05-01,193
2024-06-01,203
2024-07-01,216
2024-08-01,212
2024-09-01,204
2024-10-01,197
2024-11-01,191
2024-12-01,206
